provider name,Low_tech_match,High_tech_match,Disposal match
HDPE Drinking Bottles,"Low-tech Sorting, Collected HDPE Drinking Bottles","High-tech Sorting, Collected HDPE Drinking Bottles","Disposal, HDPE Drinking Bottles"
HDPE Food Bottles,"Low-tech Sorting, Collected HDPE Food Bottles","High-tech Sorting, Collected HDPE Food Bottles","Disposal, HDPE Food Bottles"
HDPE Non-food Bottles,"Low-tech Sorting, Collected HDPE Non-food Bottles","High-tech Sorting, Collected HDPE Non-food Bottles","Disposal, HDPE Non-food Bottles"
HDPE Other Food Rigid ,"Low-tech Sorting, Collected HDPE Other Food Rigid","High-tech Sorting, Collected HDPE Other Food Rigid","Disposal, HDPE Other Food Rigid"
HDPE Other Non-food Rigid,"Low-tech Sorting, Collected HDPE Other Non-food Rigid","High-tech Sorting, Collected HDPE Other Non-food Rigid","Disposal, HDPE Other Non-food Rigid"
LDPE Food Packaging Film (med-large format),"Low-tech Sorting, Collected LDPE Food Packaging Film (med-large format)","High-tech Sorting, Collected LDPE Food Packaging Film (med-large format)","Disposal, LDPE Food Packaging Film (med-large format)"
LDPE Food Packaging Film (small format),"Low-tech Sorting, Collected LDPE Food Packaging Film (small format)","High-tech Sorting, Collected LDPE Food Packaging Film (small format)","Disposal, LDPE Food Packaging Film (small format)"
LDPE Non-food Packaging Films ,"Low-tech Sorting, Collected LDPE Non-food Packaging Film","High-tech Sorting, Collected LDPE Non-food Packaging Film","Disposal, LDPE Non-food Packaging Films"
Multi-material Food Bottles,"Low-tech Sorting, Collected Multi-material Food Bottles","High-tech Sorting, Collected Multi-material Food Bottles","Disposal, Multi-material Food Bottles"
Multi-material Food Packaging Film (med-large format),"Low-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)","High-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)","Disposal, Multi-material Food Packaging Film (med-large format)"
Multi-material Food Packaging Film (small format),"Low-tech Sorting, Collected Multi-material Food Packaging Film (small format)","High-tech Sorting, Collected Multi-material Food Packaging Film (small format)","Disposal, Multi-material Food Packaging Film (small format)"
Multi-material Non-food Packaging Film,"Low-tech Sorting, Collected Multi-material Non-food Packaging Film","High-tech Sorting, Collected Multi-material Non-food Packaging Film","Disposal, Multi-material Non-food Packaging Film"
PET Drinking Bottles,"Low-tech Sorting, Collected PET Drinking Bottles","High-tech Sorting, Collected PET Drinking Bottles","Disposal, PET Drinking Bottles"
PET Food Bottles,"Low-tech Sorting, Collected PET Food Bottles","High-tech Sorting, Collected PET Food Bottles","Disposal, PET Food Bottles"
PET Non-food Bottles,"Low-tech Sorting, Collected PET Non-food Bottles","High-tech Sorting, Collected PET Non-food Bottles","Disposal, PET Non-food Bottles"
PET Other Food Rigid,"Low-tech Sorting, Collected PET Other Food Rigid","High-tech Sorting, Collected PET Other Food Rigid","Disposal, PET Other Food Rigid"
PET Other Non-food Rigid,"Low-tech Sorting, Collected PET Other Non-Food Rigid","High-tech Sorting, Collected PET Other Non-Food Rigid","Disposal, PET Other Non-food Rigid"
PP Food Bottles,"Low-tech Sorting, Collected PP Food Bottles","High-tech Sorting, Collected PP Food Bottles","Disposal, PP Food Bottles"
PP Food Packaging Film (med-large format),"Low-tech Sorting, Collected PP Food Packaging Film (med-large format)","High-tech Sorting, Collected PP Food Packaging Film (med-large format)","Disposal, PP Food Packaging Film (med-large format)"
PP Food Packaging Film (small format),"Low-tech Sorting, Collected PP Food Packaging Film (small format)","High-tech Sorting, Collected PP Food Packaging Film (small format)","Disposal, PP Food Packaging Film (small format)"
PP Non-food Bottles,"Low-tech Sorting, Collected PP Non-food Bottles","High-tech Sorting, Collected PP Non-food Bottles","Disposal, PP Non-food Bottles"
PP Non-food Packaging Films ,"Low-tech Sorting, Collected PP Non-food Packaging Film","High-tech Sorting, Collected PP Non-food Packaging Film","Disposal, PP Non-food Packaging Films"
PP Other Food Rigid,"Low-tech Sorting, Collected PP Other Food Rigid","High-tech Sorting, Collected PP Other Food Rigid","Disposal, PP Other Food Rigid"
PP Other Non-food Rigid,"Low-tech Sorting, Collected PP Other Non-food Rigid","High-tech Sorting, Collected PP Other Non-food Rigid","Disposal, PP Other Non-food Rigid"
PS Other Food Rigid,"Low-tech Sorting, Collected PS Other Food Rigid","High-tech Sorting, Collected PS Other Food Rigid","Disposal, PS Other Food Rigid"
PVC Other Food Rigid,"Low-tech Sorting, Collected PVC Other Food Rigid","High-tech Sorting, Collected PVC Other Food Rigid","Disposal, PVC Other Food Rigid"
PVC Other Non-food Rigid,"Low-tech Sorting, Collected PVC Other Non-food Rigid","High-tech Sorting, Collected PVC Other Non-food Rigid","Disposal, PVC Other Non-food Rigid"