index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type,provider_key
119,5198d618-7bc8-3639-b4a1-de71d6d5f49a,"Combustion, wet wood residue, AP-42","22: Utilities/2213: Water, Sewage and Other Systems",RNA,e76b9e39-7437-3612-98bc-6940592ebf2a,"Combustion, wet wood residue, AP-42","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",MJ,product,"combustion, wet wood residue, ap-42"
120,9ee66dd5-dcc9-3e94-9da3-3a7cc6cddeb3,"Hydrochloric acid, without water, in 30% solution state, at plant ",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,1a0678a7-09b1-339d-8f05-259a14f0ab84,"Hydrochloric acid, without water, in 30% solution state, at plant ",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"hydrochloric acid, without water, in 30% solution state, at plant"
122,442ab5b5-32f4-4de0-9aa7-fa989b0579af,"Chemicals organic, at plant Bridge; USLCI to USEEIO",Bridge Processes/USLCI to USEEIO,,400b2d60-d2b9-3e36-a89f-53a7f1349f86,"Chemicals organic, at plant",Technosphere flows/CUTOFF Flows,kg,product,"chemicals organic, at plant bridge; uslci to useeio"
126,d8e8d817-3d15-3d2b-8dd8-3f5b733cd2ad,"Ductile Iron Pipe, 36"" inch diameter; at plant; per linear foot",31-33: Manufacturing/3329: Other Fabricated Metal Product Manufacturing,US,22f37cf3-582b-3f30-8558-5a926eac5af2,"Ductile Iron Pipe, 36""",Technosphere flows/31-33: Manufacturing/3329: Other Fabricated Metal Product Manufacturing,m,product,"ductile iron pipe, 36"" inch diameter; at plant; per linear foot"
127,2013d3cd-dd12-316f-aac9-4983529b083c,"Concrete Pipe, 36"" inch diameter; at plant; per linear foot",31-33: Manufacturing/3273: Cement and Concrete Product Manufacturing,US,54f0ebc7-6b9a-3627-ad73-a798371d7ebd,"Concrete Pipe, 36""",Technosphere flows/31-33: Manufacturing/3273: Cement and Concrete Product Manufacturing,m,product,"concrete pipe, 36"" inch diameter; at plant; per linear foot"
171,dacaeae9-aeed-3366-912d-6a31de09eef9,"Nitrogen fertilizer, production mix, at plant","31-33: Manufacturing/3253: Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",RNA,45f1fd00-2093-3e05-9b41-e942b9e8cec9,"Nitrogen fertilizer, production mix, at plant","Technosphere flows/31-33: Manufacturing/3253: Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",kg,product,"nitrogen fertilizer, production mix, at plant"
172,9109d57c-8234-3569-a2e6-0e4671b524d9,"Corn grain, at conversion plant, 2022",48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,RNA,2766f5e7-9d42-36cb-8a03-11aa4f7ecd3a,"Corn grain, at conversion plant",Technosphere flows/48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,kg,product,"corn grain, at conversion plant, 2022"
173,88aee762-4aa0-301f-b579-cca5d636aa0d,"Soybean oil, crude, degummed, at plant",31-33: Manufacturing/3112: Grain and Oilseed Milling,RNA,263fb8d0-8df5-3cee-834b-b7e2de1dac4a,"Soy meal, at plant",Technosphere flows/31-33: Manufacturing/3112: Grain and Oilseed Milling,kg,product,"soybean oil, crude, degummed, at plant"
174,1b0f75b8-e749-3eb2-8727-de6a22f60646,"Lignite coal, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,eb6394c1-0d19-3be3-99ab-ec572dec9926,"Lignite coal, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",kg,product,"lignite coal, combusted in industrial boiler"
175,391ccf45-4b61-37e9-a2f2-3e19afc0d4ef,"Enzyme, Alpha-amylase, Novozyme Liquozyme",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RER,00b5c8b4-682d-3000-a2df-246e333f6344,"Enzyme, Alpha-amylase, Novozyme Liquozyme",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"enzyme, alpha-amylase, novozyme liquozyme"
176,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,"Petroleum refining, at refinery",31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,US,f7c00d19-9601-373a-ba23-593e251b4dee,"Residual fuel oil, at refinery",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,m3,product,"petroleum refining, at refinery"
179,3455f918-4a43-3b09-b06e-7402c12b8d45,"Wood waste, unspecified, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,1a76ed77-b97d-3070-85b7-b1f41906cece,"Wood waste, unspecified, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",kg,product,"wood waste, unspecified, combusted in industrial boiler"
182,5a782377-d196-304c-baec-fea559a4dfe2,"Enzyme, Glucoamylase, Novozyme Spirizyme",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RER,d818c190-7b73-33b1-b0d4-9f4339e3b117,"Enzyme, Glucoamylase, Novozyme Spirizyme",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"enzyme, glucoamylase, novozyme spirizyme"
184,097d2f2c-d006-3b27-84de-98e6a364e411,"Corn wet mill, gluten drying, AP-42",31-33: Manufacturing/3112: Grain and Oilseed Milling,RNA,28b025c1-5897-3e01-8aa2-166cd2c9f86d,"Corn wet mill, gluten drying, AP-42",Technosphere flows/31-33: Manufacturing/3112: Grain and Oilseed Milling,kg,product,"corn wet mill, gluten drying, ap-42"
196,4eec7a31-b920-3f91-b7c3-924f2aa92ecc,"Liquefied petroleum gas, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,f77da622-e84d-3639-8917-fcf792aaee13,"Liquefied petroleum gas, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"liquefied petroleum gas, combusted in industrial boiler"
207,f8513ce4-7415-4495-9d10-5957ab21af04,Drinking water treatment; U.S. Average Treatment; at consumer,"22: Utilities/2213: Water, Sewage and Other Systems",US,9b31b7aa-2f86-4af6-b684-cc066f76aafa,Drinking water treatment; U.S. Average Treatment,"Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,drinking water treatment; u.s. average treatment; at consumer
219,6c96a609-cd7e-3f19-a151-27deb823d3e4,"Combustion, dry wood residue, AP-42","22: Utilities/2213: Water, Sewage and Other Systems",RNA,405b0729-a9a8-308e-8f24-c6610f59b351,"Combustion, dry wood residue, AP-42","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",MJ,product,"combustion, dry wood residue, ap-42"
222,0853441e-0b11-30f6-87c5-00ca7df78e21,"Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42","31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing",RNA,4b5cad63-18f1-30c7-ae7c-79f60094c8f0,"Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42","Technosphere flows/31-33: Manufacturing/3212: Veneer, Plywood, and Engineered Wood Product Manufacturing",kg,product,"heat, indirect, heated zones, softwood, plywood veneer drying, ap-42"
223,2753c5de-221b-369a-84de-689d354b8b2d,"Forest residue, preprocessed, at conversion facility",48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,RNA,658f8e12-f566-3e01-930c-e95cf9fa2c2b,"Forest residue, preprocessed, at conversion facility",Technosphere flows/48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,kg,product,"forest residue, preprocessed, at conversion facility"
224,a1c4409b-9e9e-4f3b-bec0-f319fef1e3c5,Zeolite Bridge; USLCI to USEEIO,Bridge Processes/USLCI to USEEIO,,8f395d18-ce0c-39a8-b548-b184a6b9ee68,"Zeolite, powder, at plant",Technosphere flows/CUTOFF Flows,kg,product,zeolite bridge; uslci to useeio
225,309485bd-a13b-4539-a23c-036c0b23b4f5,Silica sand Bridge; USLCI to USEEIO,Bridge Processes/USLCI to USEEIO,,0cc6f1f6-5ff4-36c7-ba84-472348971d75,"Silica sand, at plant","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",kg,product,silica sand bridge; uslci to useeio
236,1287946e-e5be-46ac-bc69-94867516eb1e,Electricity Mix (Global),Z1: Background,,5f9e4330-20e4-4f3f-94c6-f8fedf7b5ff5,"Electricity, at grid","Technosphere flows/22: Utilities/2211: Electric Power Generation, Transmission and Distribution",MJ,product,electricity mix (global)
237,11256034-2355-3add-ade9-59983025dded,"Corn, whole plant, at field","11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",RNA,8db31b1d-1a59-304c-801f-a3cd8a23ba45,"Corn, at field","Technosphere flows/11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",kg,product,"corn, whole plant, at field"
264,8ccbedef-d726-3fae-a848-a6d41aeab5a4,"Corn stover, at conversion plant, 2022",48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,RNA,01163e75-95cb-3475-9c0d-7d76584078c3,"Corn stover, at conversion plant",Technosphere flows/48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,kg,product,"corn stover, at conversion plant, 2022"
273,5dacfb93-571f-3502-bf9e-1ce678de151d,"Sodium chloride, at plant","21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",RNA,c28f9211-98eb-3509-95cc-771d8fefae51,"Sodium chloride, at plant","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",kg,product,"sodium chloride, at plant"
318,6e19103d-ed39-3b71-8c51-0c65b85002a4,"Corn, decomposition, 15.5% moisture","11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",RNA,a3e87cf9-1690-3d33-b60e-695150337e42,"Corn, decomposition","Technosphere flows/11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",kg,product,"corn, decomposition, 15.5% moisture"
319,1cbbcd09-ea17-3d9b-bc34-2cf42efe26ba,"Corn, production, average, US, 2022","11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",RNA,5c3261bf-f870-3ba9-91e0-402b95a94a51,"Corn, production","Technosphere flows/11: Agriculture, Forestry, Fishing and Hunting/1111: Oilseed and Grain Farming",kg,product,"corn, production, average, us, 2022"
367,a0bada1b-1891-46af-81af-90d0664bee40,Formic acid; electrochemical reduction of CO2; at plant,31-33: Manufacturing/3251: Basic Chemical Manufacturing,US,4107270a-4e8d-454c-93c0-0a04531005f3,Formic acid; at plant,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,formic acid; electrochemical reduction of co2; at plant
374,49d309a8-0c93-4eeb-a342-2fe2254a0bec,"Propylene, materials production, organic compound, at plant, kg",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,e86e8b04-8e64-3a17-95c3-04c07229f0ac,"Propylene, at plant",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,kg,product,"propylene, materials production, organic compound, at plant, kg"
378,ef1b51dc-8c59-4691-89b4-ed91ffbcb7a1,"Disposal, MSW, to landfill Bridge; USLCI to USEEIO",Bridge Processes/USLCI to USEEIO,,f59a7f62-ebbb-4e2e-8e2c-69eed0e624d2,"Disposal, municipal solid wastes, to sanitary landfill",Technosphere flows/56: Administrative and Support and Waste Management and Remediation Services/5622: Waste Treatment and Disposal,kg,waste,"disposal, msw, to landfill bridge; uslci to useeio"
380,ce83ed94-a5ea-47d4-a52f-43223b22247c,"Crude oil, off-shore import, at extraction","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",US,43b6c51f-f1a9-4a6d-8070-fa84adf27d23,"Crude oil, at extraction","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"crude oil, off-shore import, at extraction"
382,3dd5638d-cb25-4e78-90c7-8dd98188f733,"Crude oil, on-shore domestic, at extraction","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",US,43b6c51f-f1a9-4a6d-8070-fa84adf27d23,"Crude oil, at extraction","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"crude oil, on-shore domestic, at extraction"
383,76048c3b-d6d3-4f3b-8215-87ece218b4a2,"Crude oil, off-shore domestic, at extraction","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",US,43b6c51f-f1a9-4a6d-8070-fa84adf27d23,"Crude oil, at extraction","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"crude oil, off-shore domestic, at extraction"
384,fcbe548c-bcd5-40b2-979c-53df809835f9,"Crude oil, on-shore import, at extraction","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",US,43b6c51f-f1a9-4a6d-8070-fa84adf27d23,"Crude oil, at extraction","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"crude oil, on-shore import, at extraction"
418,4542a69a-4c5f-3967-92da-830361967e0a,Drinking water treatment; Sedimentation; at plant,"22: Utilities/2213: Water, Sewage and Other Systems",US,2004c515-ded5-34c9-be46-3ef4fa43e634,Drinking water treatment; Sedimentation,"Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,drinking water treatment; sedimentation; at plant
419,d9917668-4941-35a0-a4b4-e920efd60946,Drinking water treatment; Lime addition infrastructure; at plant,"22: Utilities/2213: Water, Sewage and Other Systems",US,8109eada-a732-3e56-8b04-e1dd62bb7d55,Drinking water treatment; Lime addition infrastructure,"Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,drinking water treatment; lime addition infrastructure; at plant
425,874dc726-50f1-300b-958f-9335fd1c53cd,"White mineral oil, at plant",31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,RNA,5b187fd4-1b60-3d48-83b7-bf743efcbd86,"White mineral oil, at plant",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,kg,product,"white mineral oil, at plant"
428,c88ec0f8-30f7-482f-8be5-e415789da59f,Wastewater treatment; U.S. Average Treatment; at plant,"22: Utilities/2213: Water, Sewage and Other Systems",US,f15f7a4a-994e-4547-b334-549fa863cd91,Wastewater treatment; U.S. national average; at plant,"Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,waste,wastewater treatment; u.s. average treatment; at plant
566,e4a61018-9f98-3049-95c1-33b1acaa904e,"Acetic acid, at plant",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,2c696e73-bd01-3f7b-a6c5-a56dee44d66e,"Acetic acid, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"acetic acid, at plant"
593,8a0090ee-4054-322f-a65d-15c8ee6ca915,"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas","22: Utilities/2213: Water, Sewage and Other Systems",RNA,ea080df3-3823-3f40-89ed-1a45b561230e,"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas"
595,4c6f7612-c4b8-36d1-803a-8fb067b1b319,"Switchgrass, at conversion plant, 2022",48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,RNA,fcca6571-d78a-36ad-812a-9b55de1565d8,"Switchgrass, at conversion plant",Technosphere flows/48-49: Transportation and Warehousing/4842: Specialized Freight Trucking,kg,product,"switchgrass, at conversion plant, 2022"
